,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
1425,Untitled Revolution,Gallery Of Fear,Electric Guitar,['Distortion Guitar 1'],Intermediate,4/8,0.19,0.6,0.23,0.07,Intermediate,4/8,0.6,0.15,Beginner,4/8,Advanced,1/8,Beginner,5/8
1426,American Me,Black Malicious Lie,Track 2,['Distortion Guitar'],Intermediate,3/8,0.9,0.07,0.73,0.33,Intermediate,3/8,0.62,0.26,Advanced,6/8,Advanced,4/8,Intermediate,2/8
1427,In Hearts Wake,Traveller (The Fool),Guitar 2 (Ben Nairne),['Distortion Guitar'],Intermediate,3/8,0.97,0.1,0.32,0.84,Intermediate,3/8,0.01,0.34,Advanced,7/8,Advanced,8/8,Intermediate,5/8
1428,Untitled Revolution,Blinded Unrest,Electric Guitar,['Distortion Guitar 1'],Intermediate,3/8,0.91,0.14,0.62,0.36,Intermediate,3/8,0.04,0.08,Advanced,5/8,Beginner,4/8,Advanced,3/8
1429,Indepth,Who Decides?,Rob,['Distortion Guitar'],Intermediate,3/8,0.11,0.99,0.54,0.2,Intermediate,3/8,0.87,0.35,Advanced,5/8,Intermediate,8/8,Beginner,2/8
1430,Untitled Revolution,Untitled,Electric Guitar,['Distortion Guitar 1'],Intermediate,4/8,0.98,0.49,0.82,0.5,Intermediate,4/8,0.32,0.36,Beginner,4/8,Advanced,4/8,Advanced,6/8
1431,Unfinished Draft,Sulfers,Electric Guitar (clean) 2,[],Advanced,8/8,0.11,0.49,0.29,0.14,Advanced,8/8,0.61,0.78,Beginner,3/8,Beginner,1/8,Advanced,8/8
1432,In Hearts Wake,Neverland (The Star),Guitar 1,['Distortion Guitar'],Intermediate,3/8,0.93,0.08,0.52,0.27,Intermediate,3/8,0.45,0.18,Advanced,4/8,Intermediate,5/8,Advanced,7/8
1433,In Hearts Wake,Departure (Death),Guitar 1,['Distortion Guitar'],Intermediate,4/8,0.44,0.68,0.67,0.99,Intermediate,4/8,0.09,0.11,Beginner,1/8,Advanced,3/8,Intermediate,4/8
1434,The Ailment,The Flood,Electric Guitar,['Distortion Guitar 1'],Intermediate,4/8,0.42,0.2,0.18,0.04,Intermediate,4/8,0.45,0.49,Intermediate,5/8,Beginner,8/8,Advanced,6/8
1435,Velkrodeth,Paradigmas,Chutas,['Overdriven Guitar'],Advanced,6/8,0.11,0.16,0.04,0.13,Advanced,6/8,0.34,0.63,Intermediate,1/8,Beginner,8/8,Intermediate,4/8
1436,Indepth,Blinded Unrest,Electric Guitar,['Distortion Guitar 1'],Intermediate,4/8,0.65,0.18,0.31,0.96,Intermediate,4/8,0.51,0.06,Advanced,8/8,Beginner,3/8,Intermediate,4/8
1437,The Wraith,Song 1,Lead Guitar,['Distortion Guitar'],Intermediate,5/8,0.63,0.3,0.7,0.17,Intermediate,5/8,0.95,0.04,Advanced,4/8,Intermediate,8/8,Beginner,4/8
1438,Indepth,Paradoxical Immunity,Electric Guitar,['Distortion Guitar 1'],Intermediate,4/8,0.49,0.72,0.05,0.64,Intermediate,4/8,0.98,0.47,Advanced,1/8,Intermediate,2/8,Intermediate,6/8
1439,Motionless In White,Black Damask (The Fog),Rhythm Guitar,"['Ricky Olson', 'Distortion Guitar']",Intermediate,3/8,0.28,0.39,0.6,0.7,Intermediate,3/8,0.41,0.92,Beginner,7/8,Beginner,2/8,Advanced,5/8
1440,Niggas In Prehispanic,Never Existed,Track 3,['Overdriven Guitar'],Intermediate,3/8,0.31,0.48,0.24,0.08,Intermediate,3/8,0.32,0.08,Intermediate,8/8,Advanced,7/8,Beginner,5/8
1441,Indepth,"Plague Pt. 2 ""Strangelet""",Electric Guitar,['Distortion Guitar 1'],Intermediate,5/8,0.61,0.17,0.28,0.59,Intermediate,5/8,0.16,0.71,Advanced,8/8,Intermediate,7/8,Intermediate,1/8
1442,Gazette,Attitude,Guitar 2,"['Aoi', 'Distortion Guitar']",Intermediate,3/8,0.7,0.69,0.81,0.85,Intermediate,3/8,0.19,0.8,Advanced,3/8,Advanced,1/8,Intermediate,7/8
1443,Gazette,Required Malfunction,Keyboard,['Lead 2 (sawtooth)'],,,0.76,0.59,0.07,0.98,,,0.43,0.16,Intermediate,5/8,Advanced,3/8,Intermediate,8/8
1444,Gazette,Derangement,Guitar 2,"['Uruha', 'Distortion Guitar']",Intermediate,3/8,0.32,0.67,0.68,0.66,Intermediate,3/8,0.68,0.7,Beginner,7/8,Advanced,6/8,Intermediate,7/8
1445,Vandalize,Stranger,Electric Guitar I <麗 & 葵>,['Distortion Guitar'],Intermediate,3/8,0.0,0.83,0.88,0.72,Intermediate,3/8,0.27,0.23,Advanced,6/8,Intermediate,3/8,Advanced,5/8
1446,Soilwork,Loyal Shadow,Distortion Guitar,[],Intermediate,3/8,0.36,0.85,0.46,0.86,Intermediate,3/8,0.33,0.71,Advanced,7/8,Advanced,1/8,Beginner,1/8
1447,Indepth,Chaotic Form,Electric Guitar,['Distortion Guitar 2'],Intermediate,4/8,0.63,0.2,0.8,0.3,Intermediate,4/8,0.58,0.43,Beginner,3/8,Advanced,4/8,Intermediate,6/8
1448,Nxt,Eye In The Sky (Proto),Electric Guitar,['Distortion Guitar 1'],Intermediate,3/8,0.27,0.76,0.64,0.91,Intermediate,3/8,0.7,0.89,Advanced,4/8,Beginner,1/8,Intermediate,2/8
1449,Nile,The Inevitable Degradation Of Flesh,Karl Sanders (Solo),['Overdriven Guitar'],Advanced,8/8,0.38,0.02,0.1,0.94,Advanced,8/8,0.04,0.63,Advanced,8/8,Advanced,4/8,Beginner,3/8
1450,Untitled Revolution,Light Of Grove,Electric Guitar,['Distortion Guitar 3'],Intermediate,3/8,0.55,0.02,0.23,0.07,Intermediate,3/8,0.03,0.73,Advanced,2/8,Intermediate,7/8,Advanced,5/8
1451,Nxt,Nu,Electric Guitar,['Distortion Guitar 1'],Intermediate,3/8,0.13,0.84,0.09,0.88,Intermediate,3/8,0.13,0.97,Intermediate,1/8,Advanced,2/8,Intermediate,1/8
1452,Indepth,Sorrow To Us,Track 1,['Distortion Guitar 1'],Intermediate,3/8,0.48,0.62,0.73,0.59,Intermediate,3/8,0.37,0.15,Beginner,8/8,Advanced,7/8,Intermediate,5/8
1453,Tesseract,Origin (Halfway),Track 6,['Acoustic Guitar (steel)'],Intermediate,3/8,0.99,0.55,0.14,1.0,Intermediate,3/8,0.94,0.42,Beginner,4/8,Advanced,4/8,Beginner,1/8
1454,Scott Phoebus,Original 1,Electric Guitar2,['Distortion Guitar'],Intermediate,3/8,0.01,0.69,0.86,0.24,Intermediate,3/8,0.24,0.53,Beginner,8/8,Beginner,2/8,Intermediate,7/8
1455,Aldehyd,Cluster,Wokal,['Oboe'],,,0.23,0.74,0.56,0.9,,,0.13,0.65,Advanced,8/8,Intermediate,4/8,Intermediate,4/8
1456,Indepth,Rotten Faith,Track 1,['Distortion Guitar 2'],Intermediate,4/8,0.34,0.44,0.32,0.48,Intermediate,4/8,0.65,0.32,Beginner,3/8,Advanced,5/8,Advanced,2/8
1457,Twelve Foot Ninja,Coming For You,Distortion Guitar,[],Beginner,2/8,0.63,0.49,0.9,0.05,Beginner,2/8,0.48,0.08,Intermediate,5/8,Advanced,5/8,Beginner,5/8
1458,Gazette,Psychopath,Electric Guitar III <葵>,['Distortion Guitar'],Intermediate,4/8,0.86,0.44,0.42,0.46,Intermediate,4/8,0.89,0.65,Advanced,6/8,Beginner,7/8,Intermediate,8/8
1459,Gift Giver,Chatterbox,Lead,['Overdriven Guitar'],Intermediate,3/8,0.33,0.24,0.33,0.71,Intermediate,3/8,0.23,0.69,Advanced,2/8,Beginner,7/8,Intermediate,8/8
1460,Sworn In,Let Down,FX,['Acoustic Guitar (steel)'],Beginner,1/8,0.03,0.46,0.02,0.73,Beginner,1/8,0.05,0.26,Advanced,2/8,Beginner,1/8,Beginner,4/8
1461,Never See Tomorrow,For Your Eyes Only,Track 5,['Overdriven Guitar'],Intermediate,3/8,0.56,0.25,0.35,0.29,Intermediate,3/8,0.26,0.39,Intermediate,4/8,Intermediate,5/8,Intermediate,7/8
1462,Barrier,Backbone,Distortion Guitar 3,[],Beginner,1/8,0.13,0.21,0.37,0.43,Beginner,1/8,0.55,0.15,Intermediate,3/8,Intermediate,4/8,Beginner,2/8
1463,Scott Phoebus,Metal Song!!! Original,Electric Guitar2,['Distortion Guitar'],Intermediate,4/8,0.62,0.11,0.0,0.44,Intermediate,4/8,0.07,0.9,Advanced,3/8,Intermediate,5/8,Intermediate,6/8
1464,Five Finger Death Punch,Dot Your Eyes,Electric Guitar,['Distortion Guitar'],Intermediate,3/8,0.51,0.16,0.45,0.41,Intermediate,3/8,0.02,0.22,Advanced,7/8,Intermediate,1/8,Intermediate,5/8
1465,Indepth,Desolate,Electric Guitar,['Distortion Guitar 1'],Intermediate,3/8,0.6,0.46,0.2,0.02,Intermediate,3/8,0.84,0.98,Advanced,6/8,Beginner,6/8,Advanced,4/8
1466,Joshua Price,Through The Black Stream,Ryth Guitar,['Overdriven Guitar'],Intermediate,3/8,0.43,0.9,0.5,0.38,Intermediate,3/8,0.52,0.8,Advanced,3/8,Beginner,3/8,Advanced,4/8
1467,Joshua Price,Shadow In The Mist,Acoustic Guitar (steel),[],Intermediate,3/8,0.54,0.37,0.68,0.34,Intermediate,3/8,0.1,0.44,Beginner,3/8,Advanced,3/8,Beginner,3/8
1468,Indepth,Hope,Electric Guitar,['Distortion Guitar 1'],Intermediate,3/8,0.06,0.89,0.19,0.79,Intermediate,3/8,0.3,0.5,Beginner,4/8,Advanced,2/8,Beginner,4/8
1469,Indepth,Indepth: The Endless Pursuit,Steel Guitar,['Acoustic Guitar (steel) 1'],Intermediate,3/8,0.65,0.35,0.71,0.69,Intermediate,3/8,0.63,0.88,Intermediate,2/8,Advanced,7/8,Advanced,3/8
1470,Emmure,Drug Dealer Friend,Mike Mulholland,['Distortion Guitar'],Beginner,2/8,0.47,0.08,0.33,0.77,Beginner,2/8,0.74,0.72,Advanced,8/8,Advanced,6/8,Beginner,5/8
1471,Therion,Son Of The Staves Of Time,Bass String,['String Ensemble 1'],,,0.26,0.37,0.06,0.37,,,0.23,0.72,Advanced,1/8,Intermediate,7/8,Advanced,5/8
1472,Indepth,War In The Drought,Electric Guitar,['Distortion Guitar 1'],Intermediate,3/8,0.69,0.83,0.17,0.9,Intermediate,3/8,0.26,0.18,Advanced,4/8,Beginner,4/8,Beginner,8/8
1473,Castaway,Am I Br00tal Yet?,Chris Guitar,['Overdriven Guitar'],Intermediate,3/8,0.63,0.61,0.32,0.09,Intermediate,3/8,0.29,0.26,Beginner,8/8,Advanced,1/8,Beginner,6/8
1474,Untitled Revolution,Inheritor Of Death,Electric Guitar,['Distortion Guitar 2'],Intermediate,4/8,0.5,0.98,0.16,0.31,Intermediate,4/8,0.79,0.27,Advanced,6/8,Beginner,7/8,Beginner,7/8
1475,Habiru,Astonishing Beaulty Of The Lunar Goddess,Track 1,['Distortion Guitar'],Intermediate,5/8,0.77,0.44,0.88,0.59,Intermediate,5/8,0.35,0.55,Advanced,8/8,Intermediate,5/8,Intermediate,2/8
1476,Kypck,Alleya Stalina,Track 2,['Distortion Guitar'],Beginner,1/8,0.54,0.46,0.74,0.75,Beginner,1/8,0.97,0.38,Advanced,7/8,Beginner,7/8,Intermediate,4/8
1477,Breakdown Of Sanity,Prologue,Center Guitar,['Distortion Guitar'],Intermediate,3/8,0.65,0.79,0.55,0.84,Intermediate,3/8,0.5,0.21,Beginner,7/8,Beginner,7/8,Advanced,3/8
1478,Breakdown Of Sanity,December,L2,['Distortion Guitar'],Intermediate,3/8,0.54,0.98,0.69,0.28,Intermediate,3/8,0.52,0.7,Beginner,8/8,Advanced,4/8,Advanced,2/8
1479,Breakdown Of Sanity,Story Of A Stranger,Spoor 1,['Distortion Guitar'],Intermediate,3/8,0.88,0.7,0.46,0.4,Intermediate,3/8,0.53,0.02,Advanced,5/8,Intermediate,3/8,Intermediate,6/8
1480,Breakdown Of Sanity,The Storm,Guitar 2,['Distortion Guitar'],Intermediate,4/8,0.24,0.0,0.37,0.58,Intermediate,4/8,0.29,0.24,Advanced,4/8,Intermediate,3/8,Advanced,8/8
1481,Breakdown Of Sanity,Chapters,Lead Guitar,['Distortion Guitar'],Intermediate,4/8,0.94,0.67,0.45,0.64,Intermediate,4/8,0.83,0.44,Advanced,3/8,Beginner,3/8,Advanced,4/8
1482,Indepth,Overnight Fall,Electric Guitar,['Distortion Guitar 1'],Intermediate,4/8,0.17,0.33,0.11,0.74,Intermediate,4/8,0.29,0.39,Beginner,6/8,Beginner,8/8,Advanced,8/8
1483,Within The Ruins,Feeding Frenzy,Track 1,['Distortion Guitar'],Intermediate,5/8,0.65,0.53,0.45,0.72,Intermediate,5/8,0.98,0.11,Beginner,2/8,Advanced,2/8,Intermediate,2/8
1484,The Devil Wears Prada,Gloom,Riffs,['Distortion Guitar'],Intermediate,3/8,0.92,0.56,0.37,0.59,Intermediate,3/8,0.77,0.49,Intermediate,3/8,Beginner,2/8,Beginner,2/8
1485,Scott Phoebus,Metallllll Songggggg,Electric Guitar2,['Distortion Guitar'],Intermediate,4/8,0.6,0.72,0.24,0.39,Intermediate,4/8,0.32,0.28,Intermediate,5/8,Beginner,8/8,Advanced,3/8
1486,Nile,Chapter For Transforming Into A Snake,Guitar 1,['Distortion Guitar'],Intermediate,5/8,0.11,0.69,0.71,0.7,Intermediate,5/8,0.73,0.97,Beginner,4/8,Intermediate,2/8,Intermediate,4/8
1487,I Own The World,Intro,French Horn,[],,,0.73,0.68,0.06,0.39,,,0.89,0.07,Advanced,1/8,Advanced,5/8,Advanced,2/8
1488,Neophy,Voiceless,Guitar 1,['Distortion Guitar'],Intermediate,3/8,0.26,0.6,0.71,0.15,Intermediate,3/8,0.44,0.75,Intermediate,2/8,Beginner,5/8,Intermediate,1/8
1489,Nnn,Mmm,Pista 3,['Distortion Guitar'],Intermediate,5/8,0.82,0.83,0.5,0.49,Intermediate,5/8,0.49,0.52,Advanced,8/8,Advanced,5/8,Advanced,5/8
1490,Nnn,Nnn,Pista 1,['Distortion Guitar'],Intermediate,4/8,0.07,0.41,0.81,0.0,Intermediate,4/8,0.65,0.99,Beginner,7/8,Advanced,3/8,Intermediate,4/8
1491,Nnn,Bbb,Pista 1,['Distortion Guitar'],Intermediate,4/8,0.35,0.64,0.11,0.26,Intermediate,4/8,0.34,0.57,Beginner,3/8,Beginner,1/8,Intermediate,4/8
1492,Indepth,Ten Thousand Times,Rob,['Distortion Guitar'],Intermediate,3/8,0.74,0.66,0.44,0.86,Intermediate,3/8,0.56,0.37,Intermediate,5/8,Beginner,7/8,Intermediate,5/8
1493,Amon Amarth,Hel,Choir,['String Ensemble 2'],,,0.56,0.8,0.5,1.0,,,0.01,0.83,Advanced,8/8,Advanced,5/8,Intermediate,1/8
1494,Amon Amarth,Shape Shifter,Guitar I,['Distortion Guitar'],Intermediate,4/8,0.21,0.14,0.51,0.56,Intermediate,4/8,0.82,0.47,Beginner,2/8,Advanced,6/8,Beginner,6/8
1495,Amon Amarth,Under Siege,Additional Electric Guitar,['Distortion Guitar'],Intermediate,3/8,0.58,0.56,0.3,0.29,Intermediate,3/8,0.6,0.14,Beginner,7/8,Advanced,2/8,Advanced,1/8
1496,Red,Die For You,Lead Guitar,['Distortion Guitar'],Beginner,1/8,0.74,0.54,0.31,0.88,Beginner,1/8,0.77,0.62,Intermediate,2/8,Intermediate,7/8,Beginner,5/8
1497,Indepth,Contradiction,Luigi,['Distortion Guitar'],Intermediate,4/8,0.44,0.69,0.15,0.82,Intermediate,4/8,0.29,0.91,Advanced,7/8,Intermediate,7/8,Intermediate,4/8
1498,Cephalic Carnage,Dying Will Be The Death Of Me,steve,['Overdriven Guitar'],Intermediate,5/8,0.43,0.87,0.52,0.87,Intermediate,5/8,0.42,0.14,Advanced,8/8,Advanced,5/8,Beginner,8/8
1499,Bring Me The Horizon,Can You Feel My Heart,Lead 2 (sawtooth),[],,,0.61,0.59,0.03,0.34,,,0.56,0.46,Intermediate,6/8,Advanced,2/8,Intermediate,8/8
1500,JHGuitar Freak,Doomed,Overdubs,['Distortion Guitar 1'],Intermediate,3/8,0.76,0.94,0.25,0.99,Intermediate,3/8,0.15,0.69,Advanced,5/8,Advanced,1/8,Intermediate,1/8
1501,Singltus,Tightrope Runner,Extra Guitar,['Distortion Guitar'],Intermediate,3/8,0.33,0.39,0.35,0.43,Intermediate,3/8,0.72,0.86,Advanced,1/8,Beginner,7/8,Advanced,7/8
1502,Singltus,Kazaksthan,Glen,['Distortion Guitar'],Intermediate,3/8,0.6,0.49,0.8,0.63,Intermediate,3/8,0.86,0.3,Intermediate,6/8,Intermediate,3/8,Beginner,6/8
1503,Sunchez,Sun Rise,Spur 7,['String Ensemble 1'],,,0.26,0.16,0.9,0.97,,,0.32,0.72,Beginner,2/8,Advanced,1/8,Advanced,2/8
1504,Nickelback,Do This Anymore,Acoustic Guitar (steel),[],Beginner,2/8,0.28,0.73,0.78,0.27,Beginner,2/8,0.85,0.12,Beginner,2/8,Advanced,1/8,Beginner,1/8
1505,Sunchez,Dawn,Johann,['Distortion Guitar'],Intermediate,4/8,0.36,0.71,0.04,0.43,Intermediate,4/8,0.78,0.24,Advanced,2/8,Beginner,8/8,Intermediate,3/8
1506,Staind,Take It,Distortion Guitar,[],Intermediate,3/8,0.94,0.4,0.78,0.17,Intermediate,3/8,0.44,0.85,Intermediate,4/8,Intermediate,6/8,Beginner,7/8
1507,Buckethead,We Are One,2nd guitar,['Distortion Guitar'],Intermediate,4/8,0.09,0.45,0.99,0.06,Intermediate,4/8,0.24,0.95,Advanced,5/8,Beginner,8/8,Advanced,5/8
1508,Chevelle,Straight Jacket Fashion,Track 1,['Distortion Guitar'],Intermediate,3/8,0.96,0.33,0.25,0.12,Intermediate,3/8,0.76,0.29,Advanced,8/8,Intermediate,4/8,Beginner,1/8
1509,Chevelle,Midnight To Midnight,Distortion 1,['Distortion Guitar'],Beginner,1/8,0.98,0.83,0.04,0.22,Beginner,1/8,0.03,0.82,Beginner,6/8,Intermediate,1/8,Advanced,6/8
1510,Evanescence,Cloud Nine,Strings,['String Ensemble 1'],,,0.96,0.11,0.02,1.0,,,0.98,0.73,Beginner,6/8,Intermediate,7/8,Advanced,5/8
1511,Fuel,Getting Thru,Carl Bell (Backing Vocals),['Harmonica'],,,0.09,0.91,0.24,0.1,,,0.84,0.94,Beginner,8/8,Beginner,8/8,Beginner,8/8
1512,Leo Kottke,Living In The Country,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8,0.96,0.13,0.56,0.24,Intermediate,3/8,0.18,0.51,Advanced,6/8,Advanced,4/8,Intermediate,4/8
1513,Robert Taylor,Gravy Train Brutality,Track 4,['Overdriven Guitar'],Intermediate,3/8,0.27,0.73,0.6,0.34,Intermediate,3/8,0.15,0.24,Beginner,4/8,Advanced,2/8,Beginner,7/8
1514,Skylar Rickel,Broken Mirrors,Track 1,['Overdriven Guitar'],Intermediate,4/8,0.93,0.68,0.74,0.37,Intermediate,4/8,0.14,0.46,Intermediate,7/8,Advanced,1/8,Beginner,7/8
1515,Remembering Vengeance,Heavy Lifting,Track 1,['Distortion Guitar'],Intermediate,3/8,0.05,0.71,0.21,0.38,Intermediate,3/8,0.44,0.64,Intermediate,2/8,Beginner,5/8,Intermediate,1/8
1516,Remembering Vengeance,More Nothing,Track 1,['Distortion Guitar'],Intermediate,3/8,0.56,0.37,0.29,0.23,Intermediate,3/8,0.8,0.71,Beginner,5/8,Beginner,3/8,Beginner,3/8
1517,Remembering Vengeance,Samo,Track 2,['Distortion Guitar'],Advanced,8/8,0.56,0.35,0.55,0.15,Advanced,8/8,0.53,0.67,Intermediate,7/8,Intermediate,4/8,Intermediate,3/8
1518,Remembering Vengeance,Pain,Track 2,['Distortion Guitar'],Intermediate,3/8,0.11,0.5,0.29,0.37,Intermediate,3/8,0.06,0.23,Advanced,5/8,Beginner,3/8,Intermediate,6/8
1519,Remembering Vengeance,Sweep,Track 4,['Distortion Guitar'],Intermediate,3/8,0.75,0.27,0.35,0.39,Intermediate,3/8,0.5,0.25,Intermediate,1/8,Intermediate,6/8,Advanced,3/8
1520,Infected Angels,Masticator Dismemberment,Spur 1,['Distortion Guitar'],Intermediate,3/8,0.7,1.0,0.2,0.31,Intermediate,3/8,0.88,0.39,Beginner,5/8,Advanced,1/8,Intermediate,4/8
1521,Bloodsense,In My World,GeirO,['Distortion Guitar'],Intermediate,3/8,0.75,0.89,0.52,0.72,Intermediate,3/8,0.14,0.73,Advanced,4/8,Beginner,4/8,Advanced,1/8
1522,Cabalist,Burn,Alex Clean,['Electric Guitar (jazz)'],Beginner,1/8,0.52,0.6,0.36,0.0,Beginner,1/8,0.05,0.26,Beginner,8/8,Advanced,5/8,Advanced,6/8
1523,Wavenoise,Black Masqueradeinto The Void,Rhythm (Dropped Bb),['Overdriven Guitar'],Intermediate,3/8,0.24,0.17,0.68,0.82,Intermediate,3/8,0.17,0.33,Intermediate,6/8,Beginner,4/8,Advanced,3/8
1524,Metalmilitiaman,Shattered,Track 1,['Distortion Guitar'],Intermediate,3/8,0.06,0.47,0.81,0.88,Intermediate,3/8,0.87,0.08,Beginner,1/8,Advanced,4/8,Beginner,1/8
1525,In The Assault,Unfold,Collin,['Distortion Guitar'],Intermediate,3/8,0.12,0.59,0.16,0.06,Intermediate,3/8,0.7,0.26,Beginner,1/8,Intermediate,6/8,Advanced,1/8
1526,Skylar Rickel,Screams In The Void,Track 2,['Overdriven Guitar'],Intermediate,4/8,0.87,0.99,0.68,0.53,Intermediate,4/8,0.33,0.99,Intermediate,1/8,Intermediate,1/8,Intermediate,3/8
1527,Remembering Vengeance,Work In Progress,Track 1,['Distortion Guitar'],Intermediate,3/8,0.63,0.17,0.55,0.64,Intermediate,3/8,0.24,0.39,Advanced,1/8,Intermediate,8/8,Beginner,7/8
1528,Remembering Vengeance,New,Distortion Guitar 2,[],Intermediate,4/8,0.12,0.43,0.33,0.9,Intermediate,4/8,0.48,0.8,Advanced,5/8,Advanced,4/8,Intermediate,6/8
1529,Remembering Vengeance,Bones Break,Track 1,['Distortion Guitar'],Intermediate,3/8,0.93,0.25,0.88,0.99,Intermediate,3/8,0.19,0.41,Advanced,2/8,Intermediate,2/8,Beginner,2/8
1530,Robert Taylor,Liqour Up Front Poker In The Back,Track 2,['Overdriven Guitar'],Intermediate,3/8,0.43,0.24,0.28,0.75,Intermediate,3/8,0.72,0.04,Advanced,5/8,Advanced,6/8,Advanced,1/8
1531,Robert Taylor,Mustard Sauce,Track 2,['Distortion Guitar'],Beginner,2/8,0.17,0.85,0.11,0.36,Beginner,2/8,0.54,0.76,Intermediate,1/8,Advanced,1/8,Beginner,7/8
1532,Derp,Herp,Track 1,['Distortion Guitar'],Intermediate,5/8,0.86,0.78,0.58,0.18,Intermediate,5/8,0.02,0.31,Beginner,3/8,Beginner,4/8,Beginner,4/8
1533,Girugamesh,Suiren,Pista 1,['Distortion Guitar'],Intermediate,4/8,0.44,0.62,0.15,0.35,Intermediate,4/8,0.21,0.56,Intermediate,3/8,Intermediate,5/8,Beginner,4/8
1534,Girugamesh,Crying Rain,Solo Guitar (Nii),['Distortion Guitar'],Intermediate,3/8,0.24,0.77,0.01,0.18,Intermediate,3/8,0.06,0.63,Intermediate,2/8,Beginner,3/8,Advanced,6/8
1535,Breaking Benjamin,Lights Out,Aaron Fink,['Distortion Guitar'],Beginner,2/8,0.51,0.15,0.9,0.75,Beginner,2/8,0.09,0.56,Beginner,4/8,Beginner,3/8,Intermediate,6/8
1536,Breaking Benjamin,Fade Away,Benjamin Burnley,['Distortion Guitar 1'],Beginner,2/8,0.38,0.82,0.91,0.91,Beginner,2/8,0.01,0.84,Intermediate,2/8,Intermediate,2/8,Advanced,4/8
1537,Celldweller,Goodbye,Lead Guitar,['Distortion Guitar'],Beginner,1/8,0.65,0.87,0.99,0.74,Beginner,1/8,0.74,0.0,Advanced,2/8,Beginner,6/8,Beginner,7/8
1538,Castlevania Lament Of Innocence,Holy Cross Obsessed By The Moon,syth,['Pad 8 (sweep)'],,,0.76,0.69,0.65,0.1,,,0.06,0.98,Intermediate,4/8,Intermediate,6/8,Advanced,1/8
1539,Misc. Computer Games,Jazz Jackrabbit Theme,Keyboard #1,['Brass Section'],,,0.6,0.9,0.38,0.33,,,0.63,0.41,Intermediate,8/8,Advanced,7/8,Advanced,5/8
1540,Ballad Beast,Key,Kevster,['Distortion Guitar'],Intermediate,3/8,0.52,0.08,0.3,0.28,Intermediate,3/8,0.16,0.54,Beginner,6/8,Beginner,5/8,Intermediate,3/8
1541,While Your Heart Beats,Forty Four,Track 1,['Distortion Guitar'],Intermediate,4/8,0.16,0.08,0.15,0.08,Intermediate,4/8,0.35,0.63,Advanced,3/8,Intermediate,2/8,Beginner,6/8
1542,While Your Heart Beats,50 Knives,James,['Distortion Guitar'],Intermediate,3/8,0.0,0.94,0.03,0.19,Intermediate,3/8,0.84,0.79,Intermediate,8/8,Intermediate,8/8,Intermediate,3/8
1543,The Subconscious Deceit,Don't Listen They Don't Know,Pierre,['Lead 1 (square)'],,,0.75,0.43,0.47,0.98,,,0.62,0.46,Advanced,3/8,Intermediate,7/8,Intermediate,7/8
1544,D3kdnc3,Sotd,ME,['Distortion Guitar'],Intermediate,3/8,0.84,0.95,0.9,0.12,Intermediate,3/8,0.09,0.64,Intermediate,7/8,Beginner,6/8,Intermediate,1/8
1545,Misc. Unsigned Bands,Dead Silence Hides My Cries -,Distortion Guitar 1,[],Intermediate,3/8,0.61,0.32,0.02,0.04,Intermediate,3/8,0.86,0.04,Advanced,6/8,Advanced,5/8,Beginner,3/8
1546,Pendulum,Self Vs Self,Track 4,['Lead 2 (sawtooth)'],,,0.66,0.1,0.93,0.24,,,0.54,0.98,Beginner,8/8,Intermediate,1/8,Beginner,8/8
1547,Girugamesh,Enishi,Spur 1,['Distortion Guitar'],Intermediate,3/8,0.91,0.14,0.87,0.86,Intermediate,3/8,0.26,0.29,Advanced,8/8,Intermediate,7/8,Intermediate,6/8
1548,We Butter The Bread With Butter,Breekachu,Guitar 2,['Distortion Guitar'],Beginner,2/8,0.87,0.13,0.39,0.27,Beginner,2/8,0.95,0.35,Advanced,3/8,Intermediate,1/8,Intermediate,7/8
1549,We Butter The Bread With Butter,Schlaf Kindlein Schlaf,Guitar 2,['Distortion Guitar'],Intermediate,3/8,0.67,0.35,0.3,0.63,Intermediate,3/8,0.6,0.77,Intermediate,6/8,Advanced,1/8,Beginner,5/8
1550,Girugamesh,Stfu,Spur 1,['Distortion Guitar'],Intermediate,3/8,0.94,0.04,0.73,0.41,Intermediate,3/8,0.5,0.53,Advanced,5/8,Advanced,8/8,Advanced,5/8
1551,Akasha,Amanecer,Emma,['Distortion Guitar'],Intermediate,3/8,0.77,0.18,0.83,0.18,Intermediate,3/8,0.67,0.44,Beginner,8/8,Advanced,1/8,Beginner,1/8
1552,Parkway Drive (Jordan Turner),Karma (No Drums<3),Guitar 1,['Distortion Guitar'],Intermediate,4/8,0.51,0.74,0.66,0.72,Intermediate,4/8,0.41,0.17,Intermediate,8/8,Beginner,3/8,Advanced,7/8
1553,Touhou,Native Faith,Yui,['Distortion Guitar'],Intermediate,3/8,0.29,0.39,0.63,0.56,Intermediate,3/8,0.24,0.12,Intermediate,1/8,Intermediate,3/8,Beginner,4/8
1554,In Flames,All For Me,Guitar 2,['Distortion Guitar'],Intermediate,3/8,0.49,0.7,0.8,0.94,Intermediate,3/8,0.09,0.69,Beginner,2/8,Beginner,6/8,Beginner,7/8
